Year,Trade (% of GDP),Population growth (annual %),GDP growth (annual %),GDP per capita,"Inflation, CPI (annual %)","Employment to population ratio, 15+","Net FDI(BoP, current US$)",Government total expenditures,INDPRO_IDX,HUMCAP_IDX
2009,24.75953117,0.876651299,-2.599888351,47194.94335,-0.355546266,58.34700012,1.52E+11,5637.123,86.8092,3.6868066787719700
2010,28.21989523,0.829616675,2.708856694,48650.64313,1.640043442,57.52199936,85789000000,5834.437,91.6213,3.7017533779144200
2011,30.84248624,0.726786705,1.54989495,50065.9665,3.156841569,57.42499924,1.73E+11,5871.728,94.5035,3.7070109844207700
2012,30.68183537,0.733599941,2.280687603,51784.41857,2.069337265,57.6590004,1.27E+11,5841.901,97.3878,3.7122759819030700
2013,30.00236714,0.692860277,1.841875395,53291.12769,1.464832656,57.69900131,1.05E+11,5853.881,99.3462,3.7175486087799000
2014,29.99799978,0.73336152,2.287775933,55123.84979,1.622222977,58.11600113,1.36E+11,6001.639,102.3290,3.7228286266326900
2015,27.8122335,0.736217309,2.706369582,56762.72945,0.118627136,58.4640007,-2.09E+11,6160.906,100.8807,3.7281162738800000
2016,26.58699936,0.724676067,1.667472076,57866.74493,1.261583206,58.84799957,-1.75E+11,6378.499,98.6972,3.7334113121032700
2017,27.27916102,0.632643995,2.241921216,59907.75426,2.130110004,59.23699951,28590000000,6594.039,100.0000,3.7387139797210600
2018,27.61037927,0.526435396,2.945384831,62823.30944,2.442583297,59.54899979,-3.45E+11,6937.736,103.1501,3.7440237998962400
2019,26.45194947,0.455381286,2.294439078,65120.39466,1.812210075,59.92300034,-2.09E+11,7338.825,102.4293,3.7493414878845200
2020,23.38376188,0.961201052,-2.767802511,63530.63348,1.233584396,55.97900009,1.23E+11,9109.091,95.0682,
2021,25.48140027,0.118380497,5.945484761,70248.629,4.697858864,57.41400146,-26574000000,9586.079,99.2450,
