"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.4850006103516","52.3790016174316","50.5120010375977","49.818000793457","49.7649993896484","48.3779983520508","47.5779991149902","48.3250007629395","47.3650016784668","47.4459991455078","47.5180015563965","47.5909996032715","47.6879997253418","47.8209991455078","47.8969993591309","48.0060005187988","48.1059989929199","45.3950004577637","43.7980003356934","45.5810012817383","47.0190010070801","47.9080009460449","48.7919998168945","47.4620018005371","46.4770011901855","45.9099998474121","45.6189994812012","43.0839996337891","44.1949996948242","40.3919982910156","41.0660018920898",
"American Samoa","ASM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.0909996032715","56.1150016784668","55.6619987487793","56.8129997253418","58.1580009460449","58.1139984130859","57.8429985046387","58.1619987487793","58.4480018615723","59.1749992370605","59.0340003967285","59.3240013122559","59.8190002441406","60.0400009155273","61.1609992980957","61.6640014648438","62.3250007629395","62.7099990844727","61.7919998168945","61.9830017089844","62.0970001220703","61.7490005493164","61.2639999389648","60.765998840332","61.0670013427734","61.1660003662109","61.5270004272461","62.1520004272461","62.5470008850098","60.8289985656738","62.3870010375977",
"Austria","AUT","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.9300003051758","54.548999786377","54.2809982299805","56.9690017700195","56.8450012207031","55.7239990234375","55.4300003051758","55.601001739502","56.2169990539551","55.9570007324219","55.9049987792969","56.0999984741211","56.3230018615723","53.9220008850098","55.2630004882813","55.984001159668","57.0270004272461","57.685001373291","57.2459983825684","57.4889984130859","57.7319984436035","57.8009986877441","57.6730003356934","57.2789993286133","57.2470016479492","57.5309982299805","57.8530006408691","58.3940010070801","58.6049995422363","57.5130004882813","56.9570007324219",
"Azerbaijan","AZE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.1439971923828","73.1669998168945","73.1009979248047","73.5039978027344","73.8980026245117","73.1589965820313","71.9909973144531","70.6139984130859","69.4390029907227","68.0530014038086","66.9509963989258","65.8870010375977","64.879997253418","64.0299987792969","63.4339981079102","62.5460014343262","62.7779998779297","62.423999786377","61.3160018920898","61.1609992980957","60.9189987182617","60.9339981079102","61.3320007324219","61.8559989929199","62.2700004577637","62.9469985961914","63.2610015869141","63.564998626709","63.2750015258789","58.7280006408691","59.5849990844727",
"Burundi","BDI","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.4390029907227","87.8820037841797","87.2890014648438","86.6989974975586","86.0630035400391","85.411003112793","84.7509994506836","84.0599975585938","83.693000793457","83.3369979858398","82.9820022583008","82.6179962158203","82.2239990234375","81.8570022583008","81.4540023803711","81.068000793457","80.6559982299805","80.2460021972656","79.8379974365234","79.4290008544922","79.004997253418","78.5790023803711","78.1449966430664","77.7009963989258","77.6880035400391","77.7009963989258","77.7020034790039","77.6959991455078","77.6800003051758","76.8489990234375","76.8000030517578",
"Belgium","BEL","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.826000213623","46.3050003051758","45.7120018005371","45.4729995727539","45.8199996948242","45.6310005187988","45.9930000305176","46.1110000610352","47.4199981689453","48.8440017700195","47.7449989318848","47.6529998779297","47.4059982299805","48.201000213623","48.8009986877441","48.7280006408691","49.5919990539551","49.9329986572266","49.2410011291504","49.5880012512207","49.4020004272461","49.2350006103516","49.0449981689453","48.951000213623","48.7890014648438","48.951000213623","50.0229988098145","50.9659996032715","51.4749984741211","50.8419990539551","50.7729988098145",
"Benin","BEN","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.0999984741211","71.0699996948242","71.0999984741211","71.0999984741211","71.1340026855469","71.1449966430664","71.1669998168945","71.1790008544922","71.2009963989258","71.2210006713867","71.2379989624023","71.254997253418","71.2369995117188","71.2239990234375","71.2009963989258","71.1910018920898","71.1800003051758","71.1600036621094","71.1360015869141","71.1179962158203","69.9749984741211","70.0709991455078","70.1630020141602","70.2300033569336","70.2730026245117","70.3610000610352","70.4459991455078","70.5189971923828","70.4619979858398","69.7119979858398","69.8300018310547",
"Burkina Faso","BFA","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.7689971923828","81.1399993896484","80.5479965209961","79.9140014648438","79.3030014038086","78.6760025024414","77.9850006103516","77.2979965209961","76.515998840332","75.6910018920898","74.8919982910156","74.0449981689453","73.2050018310547","71.911003112793","70.6480026245117","70.052001953125","69.5029983520508","68.5999984741211","67.6620025634766","66.7539978027344","65.7959976196289","64.8349990844727","63.8610000610352","62.8720016479492","62.75","62.6430015563965","62.5209999084473","62.3969993591309","62.3460006713867","61.6230010986328","61.7849998474121",
